claimant_canonical_name
Joe Biden
Hillary Clinton
Bernie Sanders
Mike Pence
Newt Gingrich
Ted Cruz
Marco Rubio
Ron Johnson (Wisconsin politician)
Barack Obama
Andrew Cuomo
Scott Walker (politician)
Rick Scott
Elizabeth Warren
Kamala Harris
Tammy Baldwin
Paul Ryan
Nancy Pelosi
Chris Christie
Tony Evers
Tim Kaine
Beto O'Rourke
Greg Abbott
Ron DeSantis
Joe Manchin
Mark Pocan
Gavin Newsom
Pete Buttigieg
Kirsten Gillibrand
Jeff Sessions
Bruce Rauner
Roy Cooper
Michael Bloomberg
Kevin McCarthy (California politician)
Tucker Carlson
Reince Priebus
Patrick Morrisey
Dan Patrick (politician)
Jim Justice
Gwen Moore
Glenn Grothman
Chuck Schumer
Rudy Giuliani
Rand Paul
Patrick Murphy (Pennsylvania politician)
Debbie Wasserman Schultz
Cory Booker
Bill Clinton
Alexandria Ocasio-Cortez
Sean Duffy
Russ Feingold
Robin Vos
Jerry Brown
Andrew Gillum
Amy Klobuchar
Travis Allen
Tom Cotton
Sean Spicer
Pat McCrory
Mitch McConnell
Leah Vukmir
Julian Castro
John Cornyn
David Perdue
Chris Collins (New York politician)
Richard Corcoran
Martha McSally
Kellyanne Conway
Kelda Roys
Ivanka Trump
Gwen Graham
Chris Jacobs (politician)
Adam Putnam
Tulsi Gabbard
Steve Adler (politician)
Sid Miller (politician)
Sherrod Brown
Sarah Sanders
Richard Cordray
Nikki Haley
Mike Gallagher (American politician)
Matt Gaetz
Kayleigh McEnany
Josh Hawley
Jon Ossoff
John H. Cox
Ilhan Omar
Claire McCaskill
Chris Larson
Bill Nelson
Antonio Villaraigosa
Tim Moore (North Carolina politician)
Thom Tillis
Ted Strickland
Ted Budd
Stacey Abrams
Shelley Moore Capito
Roy Blunt
Rick Kriseman
Mike DeWine
Mick Mulvaney
Kevin Nicholson
Karen Handel
Joaquin Castro
Gordon Hintz
Evan Jenkins (politician)
Doug Jones (politician)
David McKinley
Corey Stewart
Chris Murphy
Chris Kapenga
Andrew Yang
William Barr
Tom Perez
Terry McAuliffe
Seth Moulton
Richard Ojeda
Richard Burr
Rahm Emanuel
Marsha Blackburn
Mark Harris (North Carolina politician)
Kevin Cramer
Kelly Loeffler
Keith Ellison
Jacky Rosen
J. B. Pritzker
Heidi Heitkamp
Donna Campbell
Dick Durbin
Dianne Feinstein
Devin Nunes
Dan Forest
Cory Gardner
Claudia Tenney
Chris Taylor
Carlos Beruff
