Original Num ,updated num,,url,title,languageCode,publisher.name,publisher.site,claimDate,reviewDate,text,claimYear,claimant,claimant_party,textualRating,reason,ratingsimp,T/F RQ1,claimant_canonical_name,is_politician_strict,rand_num,Fear,Self/Personal Record,Opponent/Opponent's Record,Legislation,National and State Macroeconomic Issues,Economic Well-Being and Domestic Commerce,Labor and Employment,Foreign Trade,Taxes,"Civil Rights, Minority Issues, and Civil Liberties",Immigration and Refugee Issues,LGBTQ,Race,Religion,Women,Health (non-care),Social Welfare,Education,Abortion,Healthcare,Government Operations,Defense/Military,International_affairs and Foreign Aid,Voting/Elections,Agriculture,Environment,Energy,Transportation,Community Development and Housing,Technology Science Space,Media and Communications,Law and Crime and Policing,Terrorism,Guns,History,Record/Candidate Biography/ Campaigns and Personal Behavior
1,1,649,http://www.politifact.com/factchecks/2017/may/09/kevin-mccarthy/would-republican-health-care-bill-take-away-anyone/,Would the Republican health care bill take away anyone's Medicaid?,en,PolitiFact,politifact.com,2017-05-04T00:00:00Z,2017-05-09T20:11:07Z,Nobody on Medicaid' will have their benefits taken away.,2017,Kevin McCarthy,Republican,FALSE,,2 False,False(ish),Kevin McCarthy (California politician),TRUE,2505,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,2,610,https://www.politifact.com/factchecks/2018/jul/27/adam-putnam/misleading-putnam-ad-twists-desantis-stance-taxes/,Misleading Putnam ad twists DeSantis stance on taxes,en,PolitiFact,politifact.com,2018-07-24T00:00:00Z,2018-08-09T14:30:38Z,Congressman (Ron) DeSantis sponsored legislation to increase sales taxes by 23 percent; hurting families; destroying jobs; devastating tourism',2018,Adam Putnam,Republican,Mostly False,,3 Mostly False,False(ish),Adam Putnam,TRUE,2504,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
3,3,289,https://www.politifact.com/factchecks/2021/apr/06/jennifer-granholm/jennifer-granholm-spins-comparison-joe-bidens-corp/,Jennifer Granholm spins comparison of Joe Biden's corporate tax proposal,en,PolitiFact,politifact.com,2021-04-04T00:00:00Z,,President Joe Biden’s corporate tax rate increase would 'put us in line with other industrial nations.',2021,Jennifer Granholm,Democratic,Mostly False,,3 Mostly False,False(ish),Jennifer Granholm,TRUE,2503,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,4,3094,https://www.politifact.com/factchecks/2018/nov/05/mike-bost/illinois-mike-bost-attacks-brendan-kellys-record-p/,In Illinois; Mike Bost attacks Brendan Kelly's record as prosecutor,en,PolitiFact,politifact.com,2018-10-22T00:00:00Z,2018-11-05T19:34:59Z,Says Brendan Kelly 'allowed half of the criminals he faced to walk free' and 'failed to protect women who were violently assaulted;' allowing 'those guilty of sexual assault to cut inexcusable plea deals.',2018,Mike Bost,Republican,Mostly False,,3 Mostly False,False(ish),Mike Bost,TRUE,2500,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
5,5,7262,https://www.politifact.com/factchecks/2020/may/14/rand-paul/no-us-isnt-expected-borrow-heavily-china-pay-covid/,No; US isn't expected to borrow heavily from China to pay for COVID-19 stimulus,en,PolitiFact,politifact.com,2020-05-06T00:00:00Z,,$3 trillion for federal coronavirus stimulus packages is 'being borrowed basically from China.',2020,Rand Paul,Republican,FALSE,,2 False,False(ish),Rand Paul,TRUE,2493,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,6,1308,http://www.politifact.com/factchecks/2017/nov/14/amanda-carpenter/given-roy-moores-troubles-could-luther-strange-run/,Given Roy Moore's troubles; could Luther Strange run as a write-in candidate in Alabama?,en,PolitiFact,politifact.com,2017-11-13T00:00:00Z,2017-11-15T01:04:16Z,There are ‘sore loser’ laws that would bar Luther Strange from pursuing a seat' because he already lost the Alabama Republican Senate runoff to Roy Moore.,2017,Amanda Carpenter,Republican,FALSE,,2 False,False(ish),Amanda Carpenter,FALSE,2491,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,7,947,http://www.politifact.com/factchecks/2017/dec/29/joe-berrios/joe-berrios-reaches-too-far-attack-fritz-kaegi/,Joe Berrios fails to lock down timeline in Kaegi prison charge,en,PolitiFact,politifact.com,2017-12-11T00:00:00Z,2017-12-29T21:24:51Z,(Fritz) Kaegi managed a fund that invested nearly $30 million in private prisons.',2017,Joe Berrios,Democratic,Mostly False,,3 Mostly False,False(ish),Joseph Berrios,TRUE,2488,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
8,8,6895,http://www.politifact.com/factchecks/2017/jun/22/rick-perry/rick-perry-wrongly-downplays-human-role-climate-ch/,Rick Perry wrongly downplays human role in climate change,en,PolitiFact,politifact.com,2017-06-19T00:00:00Z,2017-06-22T20:40:32Z,Most likely the primary control knob (for the earth’s temperature) is the ocean waters and this environment that we live in.',2017,Rick Perry,Republican,FALSE,,2 False,False(ish),Rick Perry,TRUE,2487,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,9,3265,http://www.politifact.com/factchecks/2016/dec/09/sean-duffy/wisconsin-presidential-election-recount-only-dane-/,In the Wisconsin presidential election recount; is only Dane County doing the recount by hand?,en,PolitiFact,politifact.com,2016-12-01T00:00:00Z,2016-12-09T23:26:35Z,Wisconsin has only one county; Dane; 'that's hand counting the votes' in the 2016 presidential recount.,2016,Sean Duffy,Republican,Pants on Fire,,1 Pants On Fire,False(ish),Sean Duffy,TRUE,2486,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,10,4709,https://www.politifact.com/factchecks/2020/nov/06/kevin-mccarthy/claim-about-people-re-voting-iowa-2020-election-wr/,Claim about people 're-voting' in Iowa 2020 election is wrong,en,PolitiFact,politifact.com,2020-11-05T00:00:00Z,,In Iowa; 'they have allowed a little over 300 people to re-vote.',2020,Kevin McCarthy,Republican,Pants on Fire,,1 Pants On Fire,False(ish),Kevin McCarthy (California politician),TRUE,2483,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
