...1,url,title,textualRating,languageCode,publisher.name,publisher.site,reviewDate,text,claimant,claimDate,claimant_party,reason
6138,http://www.politifact.com/factchecks/2016/mar/30/pat-mccrory/pat-mccrory-wrong-when-he-says-north-carolinas-new/,Pat McCrory is wrong when he says North Carolina's new LGBT law doesn't take away existing rights,False,en,PolitiFact,politifact.com,2016-03-31T19:12:17Z,We have not taken away any rights that have currently existed in any city in North Carolina' with the passage of HB2.,Pat McCrory,2016-03-28T00:00:00Z,Republican,NA
4170,http://www.politifact.com/factchecks/2016/apr/12/barack-obama/barack-obama-says-wind-power-cheaper-texas-power-d/,Barack Obama says wind power cheaper in Texas than power from 'dirty fossil fuels',True,en,PolitiFact,politifact.com,2016-04-13T13:44:27Z,Right now; here in Texas; wind power is already cheaper than dirty fossil fuels.',Barack Obama,2016-03-12T00:00:00Z,Democratic,NA
5980,http://www.politifact.com/factchecks/2016/apr/12/hillary-clinton/look-hillary-clintons-claim-about-vermonts-gun-pip/,A look at Hillary Clinton's claim about Vermont's gun pipeline to New York,Half True,en,PolitiFact,politifact.com,2016-04-13T13:59:06Z,The state with the highest per capita number of guns used in New York crimes is Vermont.,Hillary Clinton,2016-04-11T00:00:00Z,Democratic,NA
6947,http://www.politifact.com/factchecks/2016/apr/13/tammy-baldwin/testing-tammy-baldwin-claim-taxes-hedge-fund-manag/,Testing Tammy Baldwin claim on taxes for hedge fund managers vs. truck drivers,False,en,PolitiFact,politifact.com,2016-04-13T14:13:21Z,Hedge fund managers and others in private equity pay much lower income tax rates than truck drivers; teachers and nurses.,Tammy Baldwin,2016-02-14T00:00:00Z,Democratic,NA
4657,http://www.politifact.com/factchecks/2016/apr/12/ted-cruz/ted-cruz-repeats-mostly-false-claim-about-polls-sh/,Nope. Most polls still don't show Ted Cruz beating Hillary Clinton in November,Mostly False,en,PolitiFact,politifact.com,2016-04-13T14:15:54Z,The polling shows over and over again that; unlike Donald Trump; that with me as the nominee; we beat Hillary Clinton.',Ted Cruz,2016-04-11T00:00:00Z,Republican,NA
7133,http://www.politifact.com/factchecks/2016/apr/12/patrick-murphy/patrick-murphy-praises-floridas-payday-law-stronge/,Patrick Murphy praises Florida's payday law as 'stronger than almost any other state',False,en,PolitiFact,politifact.com,2016-04-13T14:19:12Z,Florida’s regulations on the payday lending industry are 'stronger than almost any other state.',Patrick Murphy,2016-04-06T00:00:00Z,Democratic,NA
5017,http://www.politifact.com/factchecks/2016/apr/07/bernie-s/bernie-sanders-not-qualified-be-president-hillary-/,Did Hillary Clinton say Bernie Sanders 'not qualified' to be president? Not directly,Mostly False,en,PolitiFact,politifact.com,2016-04-13T14:20:14Z,Says Hillary Clinton 'has been saying lately that she thinks that I am; 'not qualified to be president.' ',Bernie Sanders,2016-04-06T00:00:00Z,Democratic,NA
3418,http://www.politifact.com/factchecks/2016/apr/04/bernie-s/bernie-sanders-says-wall-street-tax-would-pay-his-/,Bernie Sanders says Wall Street tax would pay for his free tuition plan,Mostly False,en,PolitiFact,politifact.com,2016-04-13T14:22:26Z,Says his free public university tuition program 'is paid for … by a tax on Wall Street's speculation.',Bernie Sanders,2016-03-30T00:00:00Z,Democratic,NA
6335,http://www.politifact.com/factchecks/2016/apr/12/ted-cruz/ted-cruz-ad-revisits-controversy-kasichs-governors/,Ted Cruz ad revisits a controversy from Kasich's governorship of Ohio,Mostly True,en,PolitiFact,politifact.com,2016-04-13T14:26:40Z,Says a company that got tax breaks from the state later 'laid off 100 Ohioans; even as its CEO cut a half-million-dollar check to Kasich’s super PAC.',Ted Cruz,2016-04-03T00:00:00Z,Republican,NA
2766,http://www.politifact.com/factchecks/2016/mar/24/bernie-s/tufts-university-study-has-bernies-back-trans-paci/,Bernie Sanders' ad says Trans-Pacific Partnership could cost 448;000 jobs,Half True,en,PolitiFact,politifact.com,2016-04-13T14:27:34Z,http://www.politifact.com/ohio/statements/2016/mar/24/bernie-s/tufts-university-study-has-bernies-back-trans-paci/,Bernie Sanders,2016-03-15T00:00:00Z,Democratic,NA
2133,http://www.politifact.com/factchecks/2016/mar/07/bernie-s/flint-residents-dont-pay-3-times-much-burlington-r/,Bernie Sanders has a point: Water in Flint much more expensive than in Burlington,Mostly True,en,PolitiFact,politifact.com,2016-04-13T14:29:07Z,(Flint; Mich.; is) paying three times more for poison water than I am paying in Burlington; Vt.; for clean water.',Bernie Sanders,2016-03-06T00:00:00Z,Democratic,NA
7252,http://www.politifact.com/factchecks/2016/apr/11/ted-cruz/national-surveys-show-ted-cruz-isnt-beating-hillar/,National surveys show Ted Cruz isn't beating Hillary Clinton in poll after poll after poll,Mostly False,en,PolitiFact,politifact.com,2016-04-13T14:30:20Z,Poll after poll after poll shows me beating Hillary.',Ted Cruz,2016-04-07T00:00:00Z,Republican,NA
4377,http://www.politifact.com/factchecks/2016/apr/06/hillary-clinton/does-economy-always-do-better-under-democratic-pre/,Does the economy always do better under Democratic presidents?,Half True,en,PolitiFact,politifact.com,2016-04-13T14:30:54Z,The economy always does better when there’s a Democrat in the White House.',Hillary Clinton,2016-03-21T00:00:00Z,Democratic,NA
4974,http://www.politifact.com/factchecks/2016/apr/05/hillary-clinton/does-clinton-really-have-25-million-more-votes-san/,Does Clinton really have 2.5 million more votes than Sanders?,Mostly True,en,PolitiFact,politifact.com,2016-04-13T14:32:50Z,I have 2 and a half million more votes than he (Sanders) does.',Hillary Clinton,2016-04-05T00:00:00Z,Democratic,NA
7738,http://www.politifact.com/factchecks/2016/apr/03/hillary-clinton/hillary-clinton-i-have-now-put-out-all-my-emails/,Hillary Clinton spins on 'Meet the Press;' says she put out all her emails,Half True,en,PolitiFact,politifact.com,2016-04-13T14:34:12Z,I have now put out all of my emails.',Hillary Clinton,2016-04-03T00:00:00Z,Democratic,NA
6110,http://www.politifact.com/factchecks/2016/mar/21/hillary-clinton/hillary-clinton-says-her-campaign-depends-small-do/,Hillary Clinton says her campaign 'depends on small donations for the majority of our support',Mostly False,en,PolitiFact,politifact.com,2016-04-13T14:37:13Z,Our campaign depends on small donations for the majority of our support.',Hillary Clinton,2016-03-15T00:00:00Z,Democratic,NA
1618,http://www.politifact.com/factchecks/2016/mar/11/hillary-clinton/hillary-clinton-ad-points-out-its-been-15-years-am/,Hillary Clinton ad points out it's been 15 years since Americans had a raise,Mostly True,en,PolitiFact,politifact.com,2016-04-13T14:38:23Z,Americans haven’t had a raise in 15 years.',Hillary Clinton,2016-02-20T00:00:00Z,Democratic,NA
6690,http://www.politifact.com/factchecks/2016/apr/13/jan-brewer/former-arizona-gov-jan-brewer-claims-states-immigr/,Former Arizona Gov. Jan Brewer claims state's immigration law 'mirrors' federal law,Mostly False,en,PolitiFact,politifact.com,2016-04-13T17:33:37Z,Senate Bill 1070; simply; just mirrors federal law.',Jan Brewer,2016-03-28T00:00:00Z,Republican,NA
1775,http://www.politifact.com/factchecks/2016/apr/13/bernie-s/does-hillary-clinton-support-fracking/,Does Hillary Clinton support fracking?,Mostly True,en,PolitiFact,politifact.com,2016-04-13T21:24:29Z,Says Hillary Clinton supported and continues to 'support fracking.',Bernie Sanders,2016-04-10T00:00:00Z,Democratic,NA
2472,http://www.politifact.com/factchecks/2016/apr/14/bernie-s/bernie-sanders-says-hes-one-poorer-members-united-/,Bernie Sanders says he's 'one of the poorer members of the United States Senate',Mostly True,en,PolitiFact,politifact.com,2016-04-15T02:40:47Z,I remain one of the poorer members of the United States Senate.',Bernie Sanders,2016-04-14T00:00:00Z,Democratic,NA
7297,http://www.politifact.com/factchecks/2016/apr/14/hillary-clinton/new-york-debate-clinton-says-us-has-higher-account/,At New York debate; Clinton says US has higher accountability standards for toy guns than real guns,Half True,en,PolitiFact,politifact.com,2016-04-15T02:42:05Z,We have tougher standards holding toy gun manufacturers and sellers to account than we do for real guns.',Hillary Clinton,2016-04-14T00:00:00Z,Democratic,NA
