...1,url,title,textualRating,languageCode,publisher.name,publisher.site,reviewDate,text,claimant,claimDate,claimant_party,reason
18041,http://www.factcheck.org/2016/05/sanders-false-income-claim/,Sanders' False Income Claim,FALSE,en,FactCheck.org,factcheck.org,2016-05-05T20:25:28Z,Mom is working; Dad is working; and the kids are working; and ... they’re bringing in less disposable income today than a family did with one breadwinner 40 years ago.',Bernie Sanders,2016-04-28T00:00:00Z,Democratic,NA
17490,http://www.factcheck.org/2016/05/what-zika-means-for-americans/,What Zika Means for Americans,Twists the Facts,en,FactCheck.org,factcheck.org,2016-05-06T21:37:44Z,Claims Zika 'will be everywhere in the United States.',Heidi Heitkamp,2016-04-28T00:00:00Z,Democratic,NA
17574,http://www.factcheck.org/2016/05/clinton-still-spinning-emails/,Clinton Still Spinning Emails,Spinning the Facts,en,FactCheck.org,factcheck.org,2016-05-11T14:08:59Z,Says exclusively using a private email account and server for government business as secretary of state was 'absolutely permitted.',Hillary Clinton,2016-05-08T00:00:00Z,Democratic,NA
16368,http://www.factcheck.org/2016/05/whats-trumps-position-on-nato/,What's Trump's Position on NATO?,Distorts the Facts,en,FactCheck.org,factcheck.org,2016-05-11T17:50:16Z,Claims Donald Trump said 'we should pull out of NATO.',Hillary Clinton,2016-05-08T00:00:00Z,Democratic,NA
16407,http://www.factcheck.org/2012/07/romney-and-the-tax-return-precedent/,Romney and the Tax Return Precedent,McCain Was Anomaly,en,FactCheck.org,factcheck.org,2016-05-11T22:05:21Z,I'm releasing two years of [tax] returns. It's the same as John McCain; and that's a precedent I'm following.',Mitt Romney,2012-07-18T00:00:00Z,Republican,NA
17853,http://www.factcheck.org/2016/05/harry-reids-wild-exaggerations/,Harry Reid's Wild Exaggerations,Distorts the Facts,en,FactCheck.org,factcheck.org,2016-05-13T22:18:21Z,Says Mitch McConnell is 'enthusiastically embracing' Trump’s candidacy.,Harry Reid,2016-05-12T00:00:00Z,Democratic,NA
17928,http://www.factcheck.org/2016/05/bill-clintons-economic-exaggerations/,Bill Clinton's Economic Exaggerations,Not Every Country,en,FactCheck.org,factcheck.org,2016-05-18T22:07:57Z,Says over the last 400 years 'it has taken every single country at least 10 years to get over a financial crisis this severe.',Bill Clinton,2016-05-12T00:00:00Z,Democratic,NA
16413,http://www.factcheck.org/2016/05/bill-clintons-economic-exaggerations/,Bill Clinton's Economic Exaggerations,FALSE,en,FactCheck.org,factcheck.org,2016-05-18T22:17:56Z,There are three states in America that get over a third of their electricity from wind. One of them is Texas.',Bill Clinton,2016-05-12T00:00:00Z,Democratic,NA
17778,http://www.factcheck.org/2016/01/sanders-wealth-inequality-stat/,Sanders' Wealth Inequality Stat,Lacks Context,en,FactCheck.org,factcheck.org,2016-05-19T22:07:09Z,The 20 richest people in our country own more wealth than the bottom half of the American population — 150 million people.',Bernie Sanders,2016-01-05T00:00:00Z,Democratic,NA
16589,http://www.factcheck.org/2016/05/trumps-plans-for-the-va/,Trump 'Wants to Abolish VA'?,Distorts the Facts,en,FactCheck.org,factcheck.org,2016-05-20T20:38:17Z,Says Donald Trump 'has said he wants to … abolish the VA.',Hillary Clinton,2016-05-16T00:00:00Z,Democratic,NA
18029,http://www.factcheck.org/2016/05/did-trump-praise-kim-jong-un/,Did Trump Praise Kim Jong Un?,Out of Context,en,FactCheck.org,factcheck.org,2016-05-24T16:22:31Z,Accuses Donald Trump of 'heaping praise on a dangerous dictator in North Korea.',Hillary Clinton,2016-05-22T00:00:00Z,Democratic,NA
