...1,url,title,textualRating,languageCode,publisher.name,publisher.site,reviewDate,text,claimant,claimDate,claimant_party
15334,http://www.nytimes.com/interactive/2016/us/elections/fact-check.html#/factcheck-44,Elections |Fact Checks of the 2016 Election,An exaggeration.,en,The New York Times,nytimes.com,2016-01-05T00:00:00Z,I'm one of the few of the candidates that actually shows up to vote. Both Cruz and Rubio are missing the vast majority of their votes.',Rand Paul,2016-01-05T00:00:00Z,Republican
15085,http://www.nytimes.com/interactive/2016/us/elections/fact-check.html#/factcheck-46,Elections |Fact Checks of the 2016 Election,Overstated and outdated.,en,The New York Times,nytimes.com,2016-01-07T00:00:00Z,Mr. Christie said the murder rate had increased by 18 percent in Chicago and 11 percent in New York.,Chris Christie,2016-01-07T00:00:00Z,Republican
15520,http://www.nytimes.com/interactive/2016/us/elections/fact-check.html#/factcheck-47,Elections |Fact Checks of the 2016 Election,He did once hold those views.,en,The New York Times,nytimes.com,2016-01-08T00:00:00Z,Mr. Rubio accused Chris Christie of having a record similar to President Obama's on issues like education; gun control and abortion.,Marco Rubio,2016-01-08T00:00:00Z,Republican
15484,http://www.nytimes.com/interactive/2016/us/elections/fact-check.html#/factcheck-48,Elections |Fact Checks of the 2016 Election,Not all; but nearly.,en,The New York Times,nytimes.com,2016-01-11T00:00:00Z,Mrs. Clinton said legislation that Bernie Sanders supported in 2005 forbids all lawsuits against gun makers and sellers.,Hillary Clinton,2016-01-11T00:00:00Z,Democratic
15283,http://www.nytimes.com/interactive/2016/us/elections/fact-check.html#/factcheck-50,Elections |Fact Checks of the 2016 Election,His praise had caveats.,en,The New York Times,nytimes.com,2016-01-13T00:00:00Z,I never believed Edward Snowden was a good public servant the way that Ted Cruz once said; that he had done a public service for America.',Marco Rubio,2016-01-13T00:00:00Z,Republican
15070,http://www.nytimes.com/interactive/2016/us/elections/fact-check.html#/factcheck-59,Elections |Fact Checks of the 2016 Election,A newspaper story suggests otherwise.,en,The New York Times,nytimes.com,2016-01-15T00:00:00Z,Gov. Chris Christie said he never wrote a check to Planned Parenthood.,Chris Christie,2016-01-15T00:00:00Z,Republican
15081,http://www.nytimes.com/interactive/2016/us/elections/fact-check.html#/factcheck-61,Elections |Fact Checks of the 2016 Election,Wrong timing.,en,The New York Times,nytimes.com,2016-01-15T00:00:00Z,Gov. Chris Christie said President Obama and Hillary Clinton failed to enforce a red line in threatening to use military force if President Bashar al-Assad of Syria used chemical weapons against his own people. And he said Mrs. Clinton called Mr. Assad a reformer.,Chris Christie,2016-01-15T00:00:00Z,Republican
15116,http://www.nytimes.com/interactive/2016/us/elections/fact-check.html#/factcheck-57,Elections |Fact Checks of the 2016 Election,You can't take it back.,en,The New York Times,nytimes.com,2016-01-15T00:00:00Z,Gov. Chris Christie said he did not support President Obama's nomination of Sonia Sotomayor to the United States Supreme Court.,Chris Christie,2016-01-15T00:00:00Z,Republican
15171,http://www.nytimes.com/interactive/2016/us/elections/fact-check.html#/factcheck-53,Elections |Fact Checks of the 2016 Election,Deeply in dispute.,en,The New York Times,nytimes.com,2016-01-15T00:00:00Z,Hillary Clinton lied to families of the victims of the Benghazi attacks.,Marco Rubio,2016-01-15T00:00:00Z,Republican
15183,http://www.nytimes.com/interactive/2016/us/elections/fact-check.html#/factcheck-58,Elections |Fact Checks of the 2016 Election,Wishful thinking.,en,The New York Times,nytimes.com,2016-01-15T00:00:00Z,Jeb Bush said he would move the United States embassy from Tel Aviv to Jerusalem as a signal to Iran.,Jeb Bush,2016-01-15T00:00:00Z,Republican
