...1,url,title,textualRating,languageCode,publisher.name,publisher.site,reviewDate,text,claimant,claimDate,claimant_party
13766,https://www.washingtonpost.com/news/fact-checker/wp/2016/09/07/fact-checking-clinton-and-trump-in-nbcs-commander-in-chief-forum/?hpid=hp_rhp-top-table-main_factchecker-1am-2%3Ahomepage%2Fstory,Fact-checking Clinton and Trump in NBC’s Commander-in-Chief Forum,FALSE,en,The Washington Post,washingtonpost.com,2016-09-08T16:20:40Z,Trump supports 'an agenda' to privatize the VA,Hillary Clinton,2016-09-07T00:00:00Z,Democratic
14249,https://www.washingtonpost.com/news/fact-checker/wp/2017/01/10/heres-a-guide-to-the-trumpian-spin-on-the-russian-hacking-report/?utm_term=.2ce9cfa00326,Here’s a guide to the Trumpian spin on the Russian hacking report,Spin,en,The Washington Post,washingtonpost.com,2017-01-10T11:28:47Z,There is no evidence that Russia succeeded in any alleged attempt to disrupt our democracy or; in fact; to influence the election results.',Reince Priebus,2017-01-08T00:00:00Z,Republican
14316,https://www.washingtonpost.com/news/fact-checker/wp/2017/01/11/when-did-mitch-mcconnell-say-he-wanted-to-make-obama-a-one-term-president/?utm_term=.5f0606829c5d,When did Mitch McConnell say he wanted to make Obama a one-term president?,Two Pinocchios,en,The Washington Post,washingtonpost.com,2017-01-11T12:31:41Z,Mitch McConnell said he want to make Obama a one-term president when 'America was in a financial free-fall; there was crisis all over this country',Cory Booker,2017-01-08T00:00:00Z,Democratic
14691,https://www.washingtonpost.com/news/fact-checker/wp/2017/01/17/gop-democrats-offer-dueling-talking-points-about-people-losing-their-health-care/?utm_term=.8cac85d6b62e,GOP; Democrats offer dueling talking points about people losing their ‘health care’,Four Pinocchios,en,The Washington Post,washingtonpost.com,2017-01-17T11:23:49Z,What Senator [Charles] Schumer wants to try to ignore is the fact that Obamacare has failed the American people. Millions of people have already lost their health care.',Steve Scalise,2017-01-09T00:00:00Z,Republican
14629,https://www.washingtonpost.com/news/fact-checker/wp/2017/01/17/gop-democrats-offer-dueling-talking-points-about-people-losing-their-health-care/?utm_term=.8cac85d6b62e,GOP; Democrats offer dueling talking points about people losing their ‘health care’,Two Pinocchios,en,The Washington Post,washingtonpost.com,2017-01-17T11:27:11Z,For the tens of millions of Americans who will lose their health care if the ACA is repealed; I vote no. #MakeAmericaSickAgain',Charles Schumer,2017-01-11T00:00:00Z,Democratic
14608,https://www.washingtonpost.com/news/fact-checker/wp/2017/01/18/paul-ryans-claim-that-for-every-planned-parenthood-20-health-centers-provide-care/?utm_term=.9848db8efdb1,Paul Ryan’s claim that for every Planned Parenthood clinic; 20 health centers provide care,Two Pinocchios,en,The Washington Post,washingtonpost.com,2017-01-18T12:04:37Z,For every Planned Parenthood; there are 20 federal community health centers. They're vastly bigger in network; there are so many more of them; and they provide these kinds of services without all of the controversy surrounding this issue [abortion].',Paul Ryan (R-Wis.),2017-01-12T00:00:00Z,Republican
14682,https://www.washingtonpost.com/news/fact-checker/wp/2017/01/23/waterss-ridiculous-claim-that-betsy-devos-has-never-seen-the-inside-of-a-classroom/?utm_term=.1a255180be5e,Maxine Waters’s ridiculous claim that Betsy DeVos ‘has never seen the inside of a classroom’,Four Pinocchios,en,The Washington Post,washingtonpost.com,2017-01-23T13:37:45Z,What about that Betsy DeVos? A billionaire who he is picking to head Education who has never seen the inside of a classroom.',Maxine Waters,2017-01-21T00:00:00Z,Democratic
13943,https://www.washingtonpost.com/news/fact-checker/wp/2017/02/12/stephen-millers-bushels-of-pinocchios-for-false-voter-fraud-claims/?utm_term=.516b282a64cc,Stephen Miller’s bushels of Pinocchios for false voter-fraud claims,Four Pinocchios,en,The Washington Post,washingtonpost.com,2017-02-12T19:03:09Z,You have 14 percent of non-citizens; according to academic research; at a minimum; are registered to vote; which is an astonishing statistic.',Stephen Miller,2017-02-12T00:00:00Z,Republican
5279,https://www.washingtonpost.com/news/fact-checker/wp/2017/02/12/stephen-millers-bushels-of-pinocchios-for-false-voter-fraud-claims/?utm_term=.516b282a64cc,Stephen Miller’s bushels of Pinocchios for false voter-fraud claims,Four Pinocchios,en,The Washington Post,washingtonpost.com,2017-02-12T21:10:24Z,This issue of busing voters in to New Hampshire is widely known by anyone who’s worked in New Hampshire politics. It’s very real; it’s very serious.',Stephen Miller,2017-02-12T00:00:00Z,Republican
14707,https://www.washingtonpost.com/news/fact-checker/wp/2017/02/13/stephen-millers-claim-that-72-from-banned-countries-were-implicated-in-terroristic-activity/?utm_term=.b0d63ff559ec,Stephen Miller’s claim that 72 from banned countries were implicated in ‘terroristic activity’,Three Pinocchios,en,The Washington Post,washingtonpost.com,2017-02-13T12:24:05Z,First of all; 72 individuals; according to the Center for Immigration Studies; have been implicated in terroristic activity in the United States who hail from those seven nations; point one.',Stephen Miller,2017-02-12T00:00:00Z,Republican
13855,https://www.washingtonpost.com/news/fact-checker/wp/2017/02/14/the-strange-tale-of-how-a-false-2009-obamacare-claim-ended-up-in-a-viral-2017-video/?utm_term=.6285cd5acaef,Analysis | The strange tale of how a false 2009 Obamacare claim ended up in a viral 2017 video,FALSE,en,The Washington Post,washingtonpost.com,2017-02-14T12:14:53Z,There is a provision in there that anyone over the age of 74 has to go before what is effectively a death panel.',Bill Akins,2017-02-11T00:00:00Z,Republican
14362,https://www.washingtonpost.com/news/fact-checker/wp/2017/02/21/the-white-house-claim-that-obama-era-regulations-have-cost-890-billion/?utm_term=.980af85b9316,Analysis | The White House claim that Obama-era regulations have cost $890 billion,One Pinocchio,en,The Washington Post,washingtonpost.com,2017-02-21T11:29:48Z,The resolution is a start of rolling back harmful Obama-era regulations; which have cost the American business consumers a staggering $890 billion.',Sean Spicer,2017-02-14T00:00:00Z,Republican
14642,https://www.washingtonpost.com/news/fact-checker/wp/2017/02/22/democrats-persist-with-the-slippery-claim-of-a-60-vote-standard-for-supremer-court-nominees/?utm_term=.96fd40bb1cb6,Analysis | Democrats persist with the slippery claim of a ’60-vote standard’ for Supreme Court nominees,Two Pinocchios,en,The Washington Post,washingtonpost.com,2017-02-22T12:21:18Z,There 'is the standard which every other Supreme Court nominee has had to meet; and that is earning 60 bipartisan votes in the United States Senate.',Tammy Baldwin,2017-02-18T00:00:00Z,Democratic
14158,https://www.washingtonpost.com/news/fact-checker/wp/2017/02/23/spicers-claim-there-are-12-14-15-million-people-in-the-u-s-illegally/?utm_term=.bfc259a05603,Analysis | Spicer’s claim there are ‘12; 14; 15 million’ people in the U.S. illegally,Three Pinocchios,en,The Washington Post,washingtonpost.com,2017-02-23T12:15:45Z,The president has made clear; when you have 12; 14; 15 million people in the country illegally; that there has to be a system of priority; and right now; ICE's priority is going to make sure that we focus on first and foremost on that.',Sean Spicer,2017-02-21T00:00:00Z,Republican
14663,https://www.washingtonpost.com/news/fact-checker/wp/2017/02/28/marsha-blackburns-false-claim-that-two-key-obamacare-elements-are-republican-provisions/?utm_term=.dc8ae258b896,Analysis | Rep. Marsha Blackburn’s false claim that two key Obamacare elements are ‘Republican provisions’,Four Pinocchios,en,The Washington Post,washingtonpost.com,2017-02-28T13:01:26Z,Preexisting conditions and 26-year-olds were two Republican provisions which made it into the [Obamacare] bill.',Marsha Blackburn,2017-02-21T00:00:00Z,Republican
13469,https://www.washingtonpost.com/news/fact-checker/wp/2017/03/02/senator-mccaskills-misfired-tweet-on-contacts-with-the-russian-ambassador/?utm_term=.de33fc7245e0,Analysis | Sen. McCaskill’s misfired tweet on contacts with Russian ambassador,Three Pinocchios,en,The Washington Post,washingtonpost.com,2017-03-02T16:25:01Z,I’ve been on the Armed Services Com for 10 years. No call or meeting w/Russian ambassador. Ever. Ambassadors call members of Foreign Rel Com.',Claire McCaskill,2017-03-02T00:00:00Z,Democratic
